row,table,c1,c2,c3,c4,c5
7,11,Taxonomic stability,"Синонимы, disputed taxa, recent split/merge",Снижает риск устаревшего имени.,,
1,12,Тип участка,Что можно утверждать,Что нельзя утверждать без дополнительных данных,,
2,12,COI/ITS/16S/18S barcode,Таксономический safe rank и маркерную принадлежность,"Фенотип, численность, отсутствие вида.",,
3,12,Coding gene,"ORF sanity, gene family, possible function, taxonomic signal",Точную функцию in vivo без аннотационной базы/эксперимента.,,
4,12,Noncoding spacer/intron,"Вариативность, lineage signal, primer/region identity",Видовой claim без калибрации и референсов.,,
5,12,Repeats/mobile elements,"Тип повторов/элементов, possible origin",Таксономическую принадлежность как species truth.,,
6,12,Metagenomic contig/MAG,"Набор gene hits, completeness/contamination, taxonomic placement",Чистый вид без binning/phylogeny/QC.,,
7,12,Unknown segment,"Наличие и координаты фрагмента, similarity hints",Биологическую роль или распространение.,,
1,13,Уровень,Роль,Не должен делать,,
2,13,A. Occurrence Evidence Audit,"Проверяет записи GBIF: occurrenceID, дата, координаты, uncertainty, publisher, DOI, dataset bias, duplicates.",Не должен доказывать molecular species identity.,,
3,13,B. Barcode-to-GBIF Evidence Compiler,"Проверяет sequence hit, coverage, ambiguity, LCA, marker profile, blockers, export pack.",Не должен притворяться полным genome annotator.,,
4,13,C. Molecular Evidence Graph,"Хранит все связи: fragment, segment, taxon, sample, method, geography, reference, claim, blocker, export.",Не должен скрывать неопределенность за одним score.,,
1,14,Модуль,Вход,Выход,Критический тест,
2,14,Input Normalizer,"CSV, FASTA, BLAST, Sequence ID, local reference FASTA",Canonical SequenceEvidenceRecord,Ошибки схемы объясняются до запуска.,
3,14,Reference Resolver,NCBI/BOLD/UNITE/GBIF backbone/local refs,ReferenceManifest + taxon lineage,Версия базы и источник сохраняются.,
4,14,Hit Processor,"Hit table, alignment metrics",Candidate set + top/close/weak hits,Top-hit не может стать species claim без gates.,
5,14,Taxon Safety Engine,"Candidates, marker profile, RCI","SafeTaxon, entropy, blockers",Ambiguous competitors понижают rank.,
6,14,Publication Gate,Occurrence core + DNA extension fields,publishable_candidate / repair_required / GBIF-ready,Поля publication не влияют на taxonomic truth.,
7,14,Repair Optimizer,Blockers and counts,Ranked repair_plan.csv,Действия ранжируются по unlockable records.,
8,14,Evidence Graph Writer,All entities and decisions,JSON/RDF/GraphDB-ready representation,Каждый claim имеет source edges.,
9,14,Report Builder,Evidence graph + exports,HTML/CSV/ZIP/methods/citations,Отчет воспроизводим без UI.,
1,15,Узел,Примеры полей,Ключевые связи,,
2,15,Fragment / Segment,"sequenceID, raw sequence/hash, length, segment_class, markerProfile",MATCHES ReferenceHit; DERIVED_FROM Sample; SUPPORTS Claim,,
3,15,ReferenceHit,"accession, identity, coverage, aligned_length, evalue, databaseVersion",BELONGS_TO Taxon; FROM ReferenceDatabase,,
4,15,Taxon,"taxonID, scientificName, rank, lineage, acceptedNameUsage",PARENT_OF; LCA_OF candidates,,
5,15,Sample / Occurrence,"occurrenceID, eventID, materialSampleID, eventDate, coordinates",HAS_FRAGMENT; IN_DATASET; HAS_METHOD,,
6,15,Assay / Method,"primers, controls, replicates, seq_meth, SOP",VALIDATES or WARNS Claim,,
7,15,Claim,"claimID, claimedTaxon, safeRank, status, caveat",SUPPORTED_BY hits/gates; BLOCKED_BY blockers,,
8,15,Blocker,"type, severity, field, action",BLOCKS Claim or Export; UNLOCKED_BY RepairAction,,
9,15,ExportArtifact,"CSV/JSON/HTML/ZIP, checksum, schema",GENERATED_FROM run/provenance,,
1,16,Слой,Минимально блокирующие поля/условия,Рекомендуемые поля/условия,,
2,16,Occurrence core,"basisOfRecord, occurrenceID, eventDate, scientificName, taxonRank, country/coordinates where applicable","recordedBy, materialSampleID, eventID, coordinateUncertaintyInMeters, geodeticDatum, occurrenceStatus.",,
3,16,DNA-derived extension,Связь с core record; target marker where applicable; sequence or stable sequence identifier when possible,"DNA_sequence/ASV hash, sop, target_gene, target_subfragment, pcr_primer_forward/reverse, seq_meth, database/protocol references.",,
4,16,Dataset metadata,"Dataset title, publisher/organization, license, citation path for formal publication","DOI, EML methods, dataset contact, provenance, external repository accessions.",,
5,16,Evidence report,"Taxonomic status, publication status, blockers, source references","claim boundaries, reference gap index, diagnostic k-mer report, source provenance manifest.",,
1,17,"Операциональное различие repairable и not-publishable
repairable: запись имеет потенциально полезный биологический сигнал, а блокеры относятся к исправимым полям или методическим метаданным. Пример: нет occurrenceID/eventDate, не заполнены праймеры, нет SOP.
not-publishable: запись не должна входить в publication export как поддержанное утверждение, потому что species/rank claim не поддержан, нарушает hard gates или отсутствуют неустранимые в текущем запуске доказательства. В UI это нужно показывать как “не публиковать сейчас”, а не как “данные плохие навсегда”.",,,,
1,18,Метрика 100-sequence run,Значение,,,
2,18,Records submitted,100,,,
3,18,API status,completed,,,
4,18,Exports returned,39,,,
5,18,Decision classes,"genus-safe: 25, not-publishable: 25, species-safe: 25, weak: 25",,,
6,18,Publication buckets,"publishable_candidate: 50, repair_required: 50",,,
7,18,Hard gate audit,"100 rows, all “pass: fail-closed rules preserved”",,,
8,18,Publishable Darwin Core rows,50,,,
9,18,GBIF-ready Darwin Core rows,0 (пустой файл: формальная publication-ready стадия не достигнута),,,
10,18,Naive top-hit overclaims prevented,75 rows,,,
11,18,Publication blockers,125 rows,,,
12,18,Repair plan actions,7 actions,,,
1,19,Expected input bucket,Actual decisionClass,Count,,
2,19,genus_safe_ambiguous,genus-safe,25,,
3,19,metadata_blocked,not-publishable,25,,
4,19,species_safe,species-safe,25,,
5,19,weak_coverage,weak,25,,
1,20,Gate,Counts,,,
2,20,exactMatchGate,"pass: 75, fail: 25",,,
3,20,ambiguityLcaGate,"pass: 75, fail: 25",,,
4,20,barcodeGapGate,pass: 100,,,
5,20,diagnosticKmerGate,pass: 100,,,
6,20,markerProfileGate,pass: 100,,,
7,20,occurrenceCoreGate,"pass: 75, fail: 25",,,
8,20,dnaMetadataGate,pass: 100,,,
9,20,assayGate,pass: 100,,,
1,21,Из UI-аудита,Правильная интерпретация,,,
2,21,1000 live GBIF records,Загруженный корпус occurrence-записей для аудита качества и источников.,,,
3,21,149 duplicates skipped,Deduplication влияет на denominators; нельзя сравнивать с downloaded count без явной метки.,,,
4,21,100 hypotheses / claims,"Это научные гипотезы или проверяемые claims, а не обязательно 100 молекулярных последовательностей.",,,
5,21,130 high uncertainty records,"Географическая/координатная неопределенность блокирует fine-scale conclusions, но не всегда общий occurrence context.",,,
6,21,"records_1000.csv, theory_claims_100.csv, scenario_metrics.csv","Отдельные артефакты разных уровней, которые нельзя сливать в один readiness score.",,,
1,22,"Принцип приоритезации
P0 - все, что может привести к ложному species claim, ложной GBIF-ready метке или невоспроизводимому выводу. P1 - все, что повышает научную надежность и валидируемость. P2 - расширение в граф и genome-wide платформу.",,,,
1,23,Issue,Симптом,Почему критично,Fix,Acceptance criteria
2,23,P0-1. Смешение счетчиков,"Downloaded, deduped, hypotheses, safe claims, publishable candidates и GBIF-ready rows могут звучать как один показатель.",Пользователь и ревьюер не понимают denominators; можно случайно завысить успех.,"Ввести DataAccountingLedger: input_n, downloaded_n, deduped_n, eligible_n, candidate_n, safe_n, publishable_candidate_n, gbif_ready_n. Каждый KPI обязан иметь numerator и denominator.",UI и CSV показывают одинаковые denominators; regression test падает при расхождении.
3,23,P0-2. GBIF-ready путается с publishable_candidate,"В batch есть 50 publishable Darwin Core rows, но GBIF-ready file пустой.","Пользователь может думать, что уже готово к GBIF, хотя финальные DOI/metadata gates не пройдены.","Сделать три состояния: evidence_publishable, dwc_template_ready, formal_gbif_ready. Пустой GBIF-ready export объяснять явно.",Нет кнопки “GBIF-ready export” при hard blockers; есть “publishable candidate export”.
4,23,P0-3. Fixed threshold overconfidence,identity>=99 и coverage>=80 выглядят универсально.,Для разных маркеров и клад это может дать ложные виды или чрезмерные блокировки.,"Создать marker_profile_registry.yaml: пороги, minLength, validation set, taxonomic scope, empirical FPR.",Каждое решение хранит profile_id и версию профиля.
5,23,P0-4. Readiness score слабее gate logic,Один score может скрыть критический blocker.,Суммарный балл допускает “80% ready” при missing occurrenceID.,Заменить score на state machine + blocker taxonomy; score оставить только как secondary progress индикатор.,Любой hard blocker принудительно переводит export state в repair_required.
6,23,P0-5. Templated claims,Фразы “supported by gates” могут повторяться без записи конкретных доказательств.,"Рецензент не видит, какие hits/competitors реально доказали claim.","Claim generator должен брать текст из graph edges: topHit, competitors, LCA, barcodeGap, kmerCount, RCI, metadata fields.",Каждый claim имеет machine-readable claim_boundaries row и human-readable rationale.
7,23,P0-6. Publisher/DOI metadata как биология,"Пустой publisher/DOI блокирует публикацию, но не таксономическую интерпретацию.",Смешение scientific evidence и publication citation создает неверную диагностику.,"Разделить blocker.kind: taxonomic, molecular_qc, occurrence_core, dna_extension, dataset_metadata, citation.","UI показывает “taxonomy safe, publication metadata missing” вместо “not species”."
8,23,P0-7. Reference incompleteness hidden,RCI слишком грубый и может создавать ложное чувство безопасности.,Непредставленный close competitor не попадет в LCA.,RCI 2.0 + leave-one-species-out + close-relative coverage; при низком RCI species-safe становится species-candidate/reference-limited.,Species-safe запрещен при RCI ниже порога или неизвестной полноте.
9,23,P0-8. Genome-wide overclaim,Фраза “расшифровка всех участков геномов” может звучать как полная биологическая интерпретация.,Научно уязвимо и ударит по доверию.,"Переименовать в Genome Segment Evidence Graph: annotation, function hints, taxonomic signal, uncertainty, not final truth.",В продукте есть “do not claim” guardrails для genome segments.
10,23,P0-9. External database provenance,"Если версия базы/параметры не сохранены, вывод не воспроизводим.",Через обновление NCBI/BOLD/GBIF тот же sequence даст другой результат.,ReferenceManifest + run.json + checksum + parameters + database snapshot/hash.,Evidence Pack позволяет повторить/объяснить решение спустя время.
11,23,P0-10. No real negative/no-match stress suite,"Демонстрационный batch сбалансирован, но не содержит достаточно плохих/обманных кейсов.",Система может хорошо проходить ожидаемые сценарии и ломаться на реальных данных.,"Добавить 100-record adversarial batch: no-match, chimeras, contamination, wrong taxonomy, short conserved fragments, HGT, NUMT, close relatives missing.",False species claim rate измеряется и публикуется.
1,24,Класс теста,Количество,Ожидаемый результат,,
2,24,True species-safe positive controls,15,Species-safe только при полной цепочке gates.,,
3,24,Close sibling ambiguity,15,"Downgrade to genus/family, no species export.",,
4,24,Weak coverage/short fragment,10,"Weak/review, no species-safe.",,
5,24,No-match / novel lineage,10,"No-match или higher-rank only, never forced species.",,
6,24,Reference missing competitor,10,"Reference-limited caveat, species-safe blocked.",,
7,24,Contamination/control failure,10,Assay gate blocks publication.,,
8,24,Metadata blocked but taxonomy safe,10,"Taxonomy safe, publication repair_required.",,
9,24,Wrong taxonomy/synonym conflict,10,Taxon resolver warning/review.,,
10,24,Genome segment non-barcode,10,"Segment annotation, no barcode-style species claim unless profile allows.",,
1,25,Metric,Формула/смысл,Цель,,
2,25,False species-safe rate,Unsafe species claims / all species-safe claims by gold review,Должно стремиться к 0; критический KPI.,,
3,25,Downgrade correctness,Ambiguous cases correctly downgraded / all ambiguous cases,Проверяет LCA logic.,,
4,25,Repair precision,Repair actions that truly unlock export / suggested actions,Проверяет repair optimizer.,,
5,25,Reference-limited detection,Known missing-reference cases flagged / all hidden competitor cases,Проверяет RCI.,,
6,25,GBIF validation pass,Exports passing DwC/IPT/schema validation / all formal exports,Проверяет publication layer.,,
7,25,Reproducibility,Same input + same manifests -> same output hash,Проверяет auditability.,,
8,25,Claim explainability,Claims with full evidence path / all claims,Проверяет graph-backed claims.,,
1,26,Артефакт,Назначение,Обязательные поля/проверки,,
2,26,sequence_safety_table.csv,Главная таблица решений по каждой последовательности.,"decisionClass, safeTaxon, rank, identity, coverage, blockers, caveats.",,
3,26,safe_taxonomic_assignments.csv,Только поддержанные безопасные таксономические назначения.,"acceptedScientificName, taxonRank, basis, profile_id.",,
4,26,review_taxonomic_hints.csv,Слабые/заблокированные записи для эксперта.,"reason, candidates, recommended review action.",,
5,26,publication_blockers.csv,Field/gate блокеры публикации.,"blocker.kind, severity, field, action, unlockable.",,
6,26,repair_plan.csv,Ранжированный список ремонтов.,"repairAction, unlockableRecords, cost, examples.",,
7,26,reference_gap_index.csv,Пробелы референсных библиотек.,"marker, clade, RCI components, close-relative coverage.",,
8,26,diagnostic_kmer_report.csv,Поддержка уникальными k-mers.,"k, support_count, empirical FPR.",,
9,26,claim_boundaries.csv,Что можно и нельзя утверждать.,"supportedClaim, unsupportedClaim, reason.",,
10,26,evidence_graph.json,Полный graph для машинной проверки.,"nodes, edges, checksums, provenance.",,
11,26,dwc_occurrence_core_publishable.csv,Candidate occurrence export.,"Only rows with supported publishable state, not necessarily formal GBIF-ready.",,
12,26,dna_derived_extension_publishable.csv,Molecular extension export.,Sequence/marker/method fields linked to core records.,,
13,26,methods_text.md + citations.md,Текст для публикации и ревью.,"Versioned methods, sources, database versions.",,
14,26,source_provenance_manifest.json,Воспроизводимость запуска.,"Input hashes, ref database versions, parameters, runtime.",,
1,27,Период,Цель,Конкретные задачи,Результат,
2,27,0-2 недели / P0,Снять риск неверных claims и счетчиков,DataAccountingLedger; state machine; explicit GBIF-ready vs publishable_candidate; graph-backed claim text; blocker taxonomy; reference/run manifests.,Интерфейс и отчеты больше не завышают готовность.,
3,27,2-6 недель / P0-P1,Сделать методологию валидируемой,marker_profile_registry; threshold provenance; RCI 2.0 draft; adversarial 100 batch; CI regression tests.,Каждый species-safe имеет profile_id и валидационный контекст.,
4,27,6-12 недель / P1,Укрепить научную защиту,Leave-one-out validation; empirical FPR for k-mers; bootstrap barcode gap; taxonomic synonym resolver; reviewer mode.,"Можно показать рецензенту не только demos, но и failure-mode proof.",
5,27,3-6 месяцев / P2,Molecular Evidence Graph v1,Graph schema; graph storage; API query; fragment sharedness atlas; reference gap dashboard; repair optimizer v2.,"Проект становится исследовательской платформой, а не только CSV compiler.",
6,27,6-12 месяцев / P3,Genome Segment Evidence Graph,Segment ontology; multi-marker consensus; coding/noncoding rules; protein/ORF layer; metagenome contig/MAG adapter; function hints.,Появляется честная “расшифровка участков генома” как доказательная аннотация с uncertainty.,
7,27,12+ месяцев / P4,Комьюнити и публикационная инфраструктура,Public validation datasets; DOI-ready reports; integrations with GBIF/IPT/MDT; curator dashboards; journal/reviewer templates.,Проект готов к внешнему научному использованию.,
1,28,Пользователь,Вопрос,Что должен показать интерфейс,,
2,28,eDNA / metabarcoding researcher,Какие ASV можно назвать видом?,"Safe ranks, competitors, controls/replicate caveats, review queue.",,
3,28,Data publisher,Что блокирует GBIF?,"Required vs recommended fields, exact repair actions, DwC templates.",,
4,28,GBIF node / data manager,Почему top-hit не всегда species?,"Formula cards, LCA path, overclaim prevention proof.",,
5,28,Taxonomist,Где нужны новые reference sequences?,Reference Gap Index by marker/clade/region.,,
6,28,Lab team,Какие поля QC надо добавить?,"Assay gate: primers, controls, replicates, SOP, contamination flags.",,
7,28,Reviewer / journal,Можно ли воспроизвести решение?,"Evidence Pack, methods, citations, source provenance, graph export.",,
1,29,Термин,Пояснение,,,
2,29,ASV,"Amplicon Sequence Variant: уникальная последовательность после denoising; лучше сохраняет исходный сигнал, чем грубо кластеризованный OTU.",,,
3,29,Barcode,"Короткий участок ДНК, который часто помогает отличать таксоны, но не всегда до вида.",,,
4,29,BLAST/top hit,Лучшее найденное совпадение в базе; не равно автоматическому species claim.,,,
5,29,Coverage,Какая доля query-фрагмента покрыта выравниванием. Высокий identity при малом coverage опасен.,,,
6,29,Diagnostic k-mer,"Короткое слово длины k в последовательности, которое поддерживает таксон и отсутствует у близких конкурентов в референсной базе.",,,
7,29,DwC-A,Darwin Core Archive: пакет таблиц и метаданных для публикации биоразнообразия.,,,
8,29,Evidence Pack,"Набор CSV/JSON/HTML/MD/ZIP файлов, позволяющий проверить решения системы.",,,
9,29,LCA,Lowest Common Ancestor: самый узкий общий таксон для набора неразделимых кандидатов.,,,
10,29,Marker profile,"Правила для конкретного маркера: длина, identity/coverage thresholds, допустимые claims, validation evidence.",,,
11,29,No-match,Нет надежного совпадения; это не доказательство отсутствия вида.,,,
12,29,RCI,"Reference Completeness Index: оценка риска, что близкие таксоны отсутствуют или плохо представлены в референсах.",,,
13,29,SafeTaxon,"Самый узкий таксон, который поддержан evidence и не разрушен конкурентами, неполнотой базы или hard blockers.",,,
14,29,Species-safe,"Состояние, в котором species claim разрешен только после прохождения hard gates.",,,
15,29,Weak,"Сигнал ниже порога надежности; обычно review/repair, а не публикация.",,,
1,30,Источник,Как используется в проекте,,,
2,30,GBIF Secretariat / DNA-derived data guide,"Publishing DNA-derived data through biodiversity data platforms, version 1.3.3, 27 Feb 2025. Важные принципы: DNA-derived occurrence data должны быть стандартизованы и воспроизводимы; для DNA-derived datasets рекомендована Occurrence core + DNA derived data extension; sequence/ASV является объективным handle для будущей переинтерпретации.",,,
3,30,Darwin Core / TDWG,"Darwin Core terms and quick reference: стандартные поля для occurrence, event, taxon, materialSampleID, scientificName, basisOfRecord и связанных сущностей.",,,
4,30,GBIF / DwC-A model,Darwin Core Archive как star schema: core table + extension tables + metadata; важен для publication exports и GBIF/IPT совместимости.,,,
5,30,"MIxS / GSC, MIQE, GGBN","Семейство стандартов и рекомендаций для молекулярных, лабораторных и sample metadata, используемых в DNA-derived extension.",,,
