sequenceID,taxonomicStatus,decisionClass,publicationStatus,publicationStage,publicationBucket,exportState,candidateTaxon,candidateRank,publishedTaxon,publishedRank,stateExplanation
ADV100-029-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-030-weak_coverage_short_fragment,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-031-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-032-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-033-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-034-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-035-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-036-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-037-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-038-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-039-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-040-no_match_novel_lineage,no-match,no-match,not-ready,record_recommended_ready,repair_required,review_only,No match,none,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-041-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-042-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-043-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-044-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-045-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-046-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-047-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-048-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-049-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-050-metadata_blocked_taxonomy_safe,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-051-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-052-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-053-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-054-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-055-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-056-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-057-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-058-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-059-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-060-assay_control_failure,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-061-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-062-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-063-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-064-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-065-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-066-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-067-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-068-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-069-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-070-wrong_taxonomy_name_conflict,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
ADV100-071-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-072-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-073-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-074-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-075-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-076-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-077-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-078-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-079-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-080-genome_segment_non_barcode_marker,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
ADV100-081-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-082-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-083-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-084-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-085-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-086-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-087-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-088-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-089-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-090-negative_barcode_gap,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-091-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-092-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-093-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-094-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-095-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-096-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-097-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-098-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-099-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
ADV100-100-missing_diagnostic_kmer,ambiguous,ambiguous,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
