sequenceID,decisionClass,candidateTaxon,candidateRank,publicationStage,reviewReason
ADV100-066-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-067-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-068-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-069-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-070-wrong_taxonomy_name_conflict,not-publishable,Aedes albopictus,species,record_not_ready,publication blocked: supplied scientificName conflicts with top molecular hit (Aedes aegypti vs Aedes albopictus)
ADV100-081-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-082-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-083-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-084-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-085-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-086-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-087-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-088-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-089-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-090-negative_barcode_gap,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: barcode gap fail
ADV100-091-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-092-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-093-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-094-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-095-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-096-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-097-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-098-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-099-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
ADV100-100-missing_diagnostic_kmer,ambiguous,Aedes albopictus,species,record_recommended_ready,species claim blocked: diagnostic k-mer support missing
