sequenceID,corePass,requiredMissing,recommendedMissing,publicationBucket,exportState,formalGbifReadyAllowed
ADV100-032-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-033-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-034-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-035-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-036-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-037-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-038-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-039-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-040-no_match_novel_lineage,True,,,repair_required,review_only,False
ADV100-041-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-042-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-043-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-044-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-045-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-046-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-047-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-048-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-049-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-050-metadata_blocked_taxonomy_safe,False,occurrenceID; eventDate,decimalLatitude; decimalLongitude; geodeticDatum; coordinateUncertaintyInMeters,repair_required,evidence_publishable_repair_required,False
ADV100-051-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-052-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-053-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-054-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-055-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-056-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-057-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-058-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-059-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-060-assay_control_failure,True,,,repair_required,evidence_publishable_repair_required,False
ADV100-061-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-062-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-063-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-064-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-065-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-066-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-067-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-068-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-069-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-070-wrong_taxonomy_name_conflict,False,,,repair_required,evidence_publishable_repair_required,False
ADV100-071-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-072-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-073-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-074-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-075-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-076-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-077-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-078-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-079-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-080-genome_segment_non_barcode_marker,True,,,publishable_candidate,dwc_template_ready,False
ADV100-081-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-082-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-083-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-084-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-085-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-086-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-087-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-088-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-089-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-090-negative_barcode_gap,True,,,repair_required,review_only,False
ADV100-091-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-092-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-093-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-094-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-095-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-096-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-097-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-098-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-099-missing_diagnostic_kmer,True,,,repair_required,review_only,False
ADV100-100-missing_diagnostic_kmer,True,,,repair_required,review_only,False
