sequenceID,taxonomicStatus,decisionClass,publicationStatus,publicationStage,publicationBucket,exportState,candidateTaxon,candidateRank,publishedTaxon,publishedRank,stateExplanation
COMP100-020-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-021-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-022-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-023-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-024-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-025-species_safe,species-safe,species-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes albopictus,species,Aedes albopictus,species,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-026-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-027-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-028-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-029-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-030-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-031-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-032-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-033-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-034-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-035-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-036-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-037-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-038-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-039-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-040-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-041-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-042-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-043-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-044-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-045-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-046-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-047-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-048-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-049-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-050-genus_safe_ambiguous,genus-safe,genus-safe,record-ready,record_recommended_ready,publishable_candidate,dwc_template_ready,Aedes,genus,Aedes,genus,"Safe taxonomic decision with a non-empty published taxon; publishable template row is allowed, dataset metadata still needs review."
COMP100-051-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-052-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-053-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-054-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-055-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-056-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-057-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-058-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-059-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-060-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-061-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-062-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-063-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-064-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-065-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-066-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-067-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-068-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-069-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-070-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-071-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-072-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-073-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-074-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-075-weak_coverage,weak,weak,not-ready,record_recommended_ready,repair_required,review_only,Aedes albopictus,species,None,none,"Record is retained as evidence context or expert review material, not an occurrence export row."
COMP100-076-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-077-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-078-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-079-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-080-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-081-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-082-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-083-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-084-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-085-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-086-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-087-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-088-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-089-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-090-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-091-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-092-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-093-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-094-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-095-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-096-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-097-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-098-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-099-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
COMP100-100-metadata_blocked,species-safe,not-publishable,not-ready,record_not_ready,repair_required,evidence_publishable_repair_required,Aedes albopictus,species,None,none,"Taxonomic evidence is bounded as safe, but occurrence/DNA/assay metadata must be repaired before export."
