sequenceID,status,rci2Status,referenceContext,closeRelativeCoverage,sequenceQuality,geographicCoverage,perSpeciesDepth,taxonomicStability,candidateSpeciesInHitTable,claimScope
COMP100-011-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-012-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-013-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-014-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-015-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-016-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-017-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-018-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-019-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-020-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-021-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-022-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-023-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-024-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-025-species_safe,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-026-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-027-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-028-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-029-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-030-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-031-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-032-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-033-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-034-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-035-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-036-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-037-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-038-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-039-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-040-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-041-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-042-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-043-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-044-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-045-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-046-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-047-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-048-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-049-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-050-genus_safe_ambiguous,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,2,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-051-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-052-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-053-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-054-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-055-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-056-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-057-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-058-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-059-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-060-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-061-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-062-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-063-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-064-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-065-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-066-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-067-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-068-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-069-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-070-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-071-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-072-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-073-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-074-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-075-weak_coverage,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-076-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-077-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-078-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-079-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-080-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-081-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-082-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-083-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-084-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-085-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-086-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-087-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-088-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-089-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-090-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-091-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-092-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-093-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
COMP100-094-metadata_blocked,reference_context_supplied,not_measured_without_external_reference_audit,COI Animals / BOLD public clustered reference,not_measured,checked_by_identity_coverage_and_length_gates,not_measured,not_measured,tracked_by_lineage_and_gbif_taxon_keys_when_supplied,1,bounded_to_supplied_reference_context_not_absolute_species_truth
