sequenceID,decisionClass,publicationBucket,exportState,supported,referenceContext,publication,topHit,competitorCount,lcaSafeRank,barcodeGapStatus,barcodeGap,diagnosticKmerStatus,diagnosticKmerSupport,markerProfile,rationale,notSupported,boundaryText
COMP100-011-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-012-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-013-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-014-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-015-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-016-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-017-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-018-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-019-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-020-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-021-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-022-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
COMP100-023-species_safe,species-safe,publishable_candidate,dwc_template_ready,Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context.,COI Animals / BOLD public clustered reference,Publishable candidate for review; dataset-level GBIF metadata is still incomplete.,Aedes albopictus,1,species,pass,0.009,pass,3,coi_full_barcode,"Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True.","absolute species truth outside the stated reference context; natural presence, absence, abundance or distribution without occurrence evidence; phenotype, pathogenicity, ecological role or invasiveness; replacement for GBIF Sequence ID, curated reference databases or expert review","Species-level molecular assignment candidate for Aedes albopictus within the supplied reference context. Publishable candidate for review; dataset-level GBIF metadata is still incomplete. Evidence path: top hit Aedes albopictus at identity=99.6, coverage=96.0; 1 indistinguishable taxon candidate(s) collapse to species Aedes albopictus; barcode gap=pass (0.009); diagnostic k-mer=pass support=3, p_false_positive=1.7e-06; marker profile=coi_full_barcode; gates core=True, dna=True, assay=True."
