sequenceID,blocker.kind,severity,field,blocker,action,unlockable,taxonomicStatus,publicationBucket,exportState
COMP100-064-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-065-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-065-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-066-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-066-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-067-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-067-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-068-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-068-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-069-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-069-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-070-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-070-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-071-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-071-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-072-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-072-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-073-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-073-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-074-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-074-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-075-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: top hit does not pass coi_full_barcode exact gate identity >= 99% and query coverage >= 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-075-weak_coverage,taxonomic,hard,query_coverage,species claim blocked: query coverage < 80%,Review marker profile warning: input sequence is shorter than supplied aligned_length; length gates use the supplied alignment span,requires_new_molecular_or_reference_evidence,weak,repair_required,review_only
COMP100-076-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-076-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-077-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-077-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-078-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-078-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-079-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-079-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-080-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-080-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-081-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-081-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-082-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-082-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-083-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-083-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-084-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-084-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-085-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-085-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-086-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-086-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-087-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-087-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-088-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-088-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-089-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-089-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-090-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-090-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-091-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-091-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-092-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-092-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-093-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-093-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-094-metadata_blocked,occurrence_core,hard,occurrenceID,publication blocked: missing required Occurrence core field occurrenceID,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
COMP100-094-metadata_blocked,occurrence_core,hard,eventDate,publication blocked: missing required Occurrence core field eventDate,Complete required Darwin Core Occurrence core fields before GBIF publication.,yes_after_repair,species-safe,repair_required,evidence_publishable_repair_required
